player_name,team,matches,innings,runs,batting_average,strike_rate,role
K Rabada,Delhi Daredevils,81,0,0,0,0,Unknown
MG Johnson,Mumbai Indians,54,0,0,0,0,Unknown
Washington Sundar,Rising Pune Supergiant,60,0,0,0,0,Unknown
AD Nath,Gujarat Lions,14,0,0,0,0,Unknown
SS Agarwal,Gujarat Lions,1,0,0,0,0,Unknown
NB Singh,Gujarat Lions,2,0,0,0,0,Unknown
KV Sharma,Mumbai Indians,84,0,0,0,0,Unknown
DM Bravo,Kolkata Knight Riders,1,0,0,0,0,Unknown
Ankit Soni,Gujarat Lions,7,0,0,0,0,Unknown
AR Bawne,Delhi Daredevils,1,0,0,0,0,Unknown
SP Jackson,Kolkata Knight Riders,9,0,0,0,0,Unknown
MJ Guptill,Kings XI Punjab,13,0,0,0,0,Unknown
Anureet Singh,Kings XI Punjab,23,0,0,0,0,Unknown
IK Pathan,Gujarat Lions,103,0,0,0,0,Unknown
PJ Sangwan,Gujarat Lions,42,0,0,0,0,Unknown
MN Samuels,Delhi Daredevils,15,0,0,0,0,Unknown
LMP Simmons,Mumbai Indians,29,0,0,0,0,Unknown
R Tewatia,Kings XI Punjab,94,0,0,0,0,Unknown
MJ Henry,Kings XI Punjab,6,0,0,0,0,Unknown
SS Tiwary,Mumbai Indians,92,0,0,0,0,Unknown
R Vinay Kumar,Mumbai Indians,104,0,0,0,0,Unknown
HV Patel,Royal Challengers Bangalore,107,0,0,0,0,Unknown
Avesh Khan,Royal Challengers Bangalore,63,0,0,0,0,Unknown
IR Jaggi,Kolkata Knight Riders,7,0,0,0,0,Unknown
CJ Jordan,Sunrisers Hyderabad,34,0,0,0,0,Unknown
E Lewis,Mumbai Indians,27,0,0,0,0,Unknown
M Markande,Mumbai Indians,37,0,0,0,0,Unknown
DJ Bravo,Chennai Super Kings,160,0,0,0,0,Unknown
MA Wood,Chennai Super Kings,5,0,0,0,0,Unknown
C Munro,Delhi Daredevils,13,0,0,0,0,Unknown
KL Rahul,Kings XI Punjab,132,0,0,0,0,Unknown
R Ashwin,Kings XI Punjab,211,0,0,0,0,Unknown
Mujeeb Ur Rahman,Kings XI Punjab,19,0,0,0,0,Unknown
Q de Kock,Royal Challengers Bangalore,109,0,0,0,0,Unknown
SN Khan,Royal Challengers Bangalore,50,0,0,0,0,Unknown
K Khejroliya,Royal Challengers Bangalore,7,0,0,0,0,Unknown
RK Singh,Kolkata Knight Riders,47,0,0,0,0,Unknown
AD Russell,Kolkata Knight Riders,128,0,0,0,0,Unknown
DJM Short,Rajasthan Royals,7,0,0,0,0,Unknown
K Gowtham,Rajasthan Royals,36,0,0,0,0,Unknown
S Gopal,Rajasthan Royals,52,0,0,0,0,Unknown
B Laughlin,Rajasthan Royals,9,0,0,0,0,Unknown
TK Curran,Kolkata Knight Riders,13,0,0,0,0,Unknown
A Dananjaya,Mumbai Indians,1,0,0,0,0,Unknown
Shubman Gill,Kolkata Knight Riders,104,0,0,0,0,Unknown
Shivam Mavi,Kolkata Knight Riders,32,0,0,0,0,Unknown
M Vijay,Chennai Super Kings,106,0,0,0,0,Unknown
H Klaasen,Rajasthan Royals,37,0,0,0,0,Unknown
RK Bhui,Sunrisers Hyderabad,4,0,0,0,0,Unknown
JC Archer,Rajasthan Royals,42,0,0,0,0,Unknown
PP Shaw,Delhi Daredevils,79,0,0,0,0,Unknown
LE Plunkett,Delhi Daredevils,7,0,0,0,0,Unknown
JP Duminy,Mumbai Indians,83,0,0,0,0,Unknown
AD Hales,Sunrisers Hyderabad,6,0,0,0,0,Unknown
MK Lomror,Rajasthan Royals,40,0,0,0,0,Unknown
IS Sodhi,Rajasthan Royals,8,0,0,0,0,Unknown
M Ashwin,Royal Challengers Bangalore,44,0,0,0,0,Unknown
KM Asif,Chennai Super Kings,7,0,0,0,0,Unknown
L Ngidi,Chennai Super Kings,14,0,0,0,0,Unknown
DR Shorey,Chennai Super Kings,2,0,0,0,0,Unknown
DJ Willey,Chennai Super Kings,11,0,0,0,0,Unknown
M Prasidh Krishna,Kolkata Knight Riders,52,0,0,0,0,Unknown
MM Ali,Royal Challengers Bangalore,68,0,0,0,0,Unknown
SP Goswami,Sunrisers Hyderabad,31,0,0,0,0,Unknown
P Chopra,Rajasthan Royals,2,0,0,0,0,Unknown
JPR Scantlebury-Searles,Kolkata Knight Riders,4,0,0,0,0,Unknown
Abhishek Sharma,Delhi Daredevils,65,0,0,0,0,Unknown
S Lamichhane,Delhi Daredevils,9,0,0,0,0,Unknown
CJ Dala,Delhi Daredevils,1,0,0,0,0,Unknown
KK Ahmed,Sunrisers Hyderabad,58,0,0,0,0,Unknown
SO Hetmyer,Royal Challengers Bangalore,74,0,0,0,0,Unknown
S Dube,Royal Challengers Bangalore,66,0,0,0,0,Unknown
Navdeep Saini,Royal Challengers Bangalore,31,0,0,0,0,Unknown
JM Bairstow,Sunrisers Hyderabad,50,0,0,0,0,Unknown
CA Ingram,Delhi Capitals,15,0,0,0,0,Unknown
KMA Paul,Delhi Capitals,8,0,0,0,0,Unknown
Rasikh Salam,Mumbai Indians,12,0,0,0,0,Unknown
N Pooran,Kings XI Punjab,78,0,0,0,0,Unknown
SM Curran,Kings XI Punjab,60,0,0,0,0,Unknown
GC Viljoen,Kings XI Punjab,6,0,0,0,0,Unknown
CV Varun,Kings XI Punjab,72,0,0,0,0,Unknown
NS Naik,Kolkata Knight Riders,4,0,0,0,0,Unknown
GH Vihari,Delhi Capitals,24,0,0,0,0,Unknown
