player_name,team,role,matches,innings,runs,batting_average,strike_rate,wickets,economy_rate,bowling_average,batting_consistency,batting_impact,bowling_impact,all_rounder_rating,estimated_fantasy_points,cost
RV Uthappa,Kolkata Knight Riders,Unknown,205.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.614410217788224
MK Pandey,Kolkata Knight Riders,Unknown,171.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.064936557223994
YK Pathan,Kolkata Knight Riders,Unknown,174.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.48013789026783
SA Yadav,Kolkata Knight Riders,Unknown,151.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.676081927897844
CR Woakes,Kolkata Knight Riders,Unknown,21.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.25769987904985
PP Chawla,Kolkata Knight Riders,Unknown,192.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.278556612396253
Kuldeep Yadav,Kolkata Knight Riders,Unknown,85.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.417497088137672
SP Narine,Kolkata Knight Riders,Unknown,177.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.932150891061609
TA Boult,Kolkata Knight Riders,Unknown,104.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.068689247794858
HM Amla,Kings XI Punjab,Unknown,16.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.730419010534835
M Vohra,Kings XI Punjab,Unknown,56.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.292108730057578
WP Saha,Kings XI Punjab,Unknown,169.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.370035255004876
AR Patel,Kings XI Punjab,Unknown,151.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.38317307344612
GJ Maxwell,Kings XI Punjab,Unknown,135.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.138721559287191
DA Miller,Kings XI Punjab,Unknown,132.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.498708433071194
